University Name,Course Name,Course Link,Deadline Link,Deadline
Harvard,MS/MENG in Computational Science and Engineering,https://www.seas.harvard.edu/programs/graduate/applied-computation,https://gsas.harvard.edu/admissions/apply,Fall only- Decemebr 15th
Carnegie Mellon University,MS in Computer Science,https://www.csd.cs.cmu.edu/academics/masters/overview#mscsoverview,https://www.csd.cs.cmu.edu/academics/masters/admissions,"Fall only- Nov 19 (early), Dec 10"
The University of Texas at Austin,MS in Computer Science,https://www.cs.utexas.edu/graduate-program/masters-program,https://www.cs.utexas.edu/faq/graduate,Fall only- December 15th
University of California Berkeley,MS in Computer Science,https://grad.berkeley.edu/program/computer-science/,https://grad.berkeley.edu/program/computer-science/,Fall only- Dec 8th
University of Pennsylvania,Master of Science in Engineering (MSE) in Computer and Information Science (CIS),http://www.cis.upenn.edu/prospective-students/graduate/index.php,https://gradadm.seas.upenn.edu/how-to-apply/,"Fall only- Nov 15 (early)
March 15 (regular)"
Purdue,MS in Computer Science,https://www.cs.purdue.edu/graduate/,https://www.cs.purdue.edu/graduate/admission/steps.html,"Spring- Oct 1, Fall- Jan 6"
Georgia Tech,MS in Computer Science,https://www.cc.gatech.edu/future/masters/mscs,https://www.cc.gatech.edu/future/masters/mscs,Fall only- February 1st 
North Carolina State University,MS in Computer Science,https://www.csc.ncsu.edu/academics/graduate/degrees/ms.php,https://www.csc.ncsu.edu/academics/graduate/admdeadlines.php,"Fall- December 15th
Spring- Oct 1"
Texas A&M,MS in Computer Science,https://engineering.tamu.edu/cse/academics/degrees/ms-cs.html,https://engineering.tamu.edu/cse/academics/degrees/graduate/faq.html#status,"Fall- Jan 15, Spring (only small applications)- August 1"
"University of Massachusetts, Amherst",MS in Computer Science,https://www.cics.umass.edu/degree-program/masters,https://www.cics.umass.edu/admissions/application-instructions,"Fall- December 15th
Spring- Oct 1"
University of Southern California,MS in CS ( Data Science),https://www.cs.usc.edu/academic-programs/masters/data-science/,https://viterbigradadmission.usc.edu/programs/masters/apply/,"Dec 15 (Scholarship), Jan 15
Spring- August 31 (scholarship), Sep 15 (Final)"
Columbia,MS in CS,http://www.cs.columbia.edu/education/ms/,https://gradengineering.columbia.edu/graduate-admissions/application-requirements,"Fall- Jan 15, Spring (Might be available, please write an email to the university)"
University of California LA,MS in Computer Science,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/computer-science/,https://www.cs.ucla.edu/graduate-admission-requirements/,Fall- December 1 
University of Michigan,MS in CS,https://www.eecs.umich.edu/eecs/graduate/cse/apply/,https://www.eecs.umich.edu/eecs/graduate/cse/apply/,Fall only- January 15th
Stanford,MS in CS,https://cs.stanford.edu/,https://cs.stanford.edu/admissions/deadlines,"December 1, 2020"
Carnegie Mellon University,MCDS,https://mcds.cs.cmu.edu/,https://mcds.cs.cmu.edu/apply-mcds-program,"Nov 19 (early), Dec 10"
"University of Illinois, Chicago",MS in CS,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/ms/,https://applygrad.uic.edu/portal/programs,"Fall- Feb 15, Spring- July 15"
Northeastern University,MS in Computer Science,https://www.northeastern.edu/graduate/program/master-of-science-in-computer-science-boston-5238/,https://www.northeastern.edu/graduate/program/master-of-science-in-computer-science-boston-5238/,"Fall- April 15
Spring- Oct 26"
University of Cincinnati,MS in CS,https://eecs.ceas.uc.edu/graduate,https://ceas.uc.edu/admissions/graduate/faqs.html,Fall- Jan 15
UT Dallas,MS in CS,https://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=151,https://www.utdallas.edu/admissions/graduate/steps-to-admission/fees-and-deadlines/,"Fall :
 Jan 15
 May 1
 
 Spring:
 May 15
 Oct 1"
"University of Michigan, Dearborn",MS in Computer Information and Science,https://umdearborn.edu/cecs/departments/computer-and-information-science/graduate-programs/ms-computer-and-information-science,https://umdearborn.edu/admissions/graduate/how-apply/application-deadlines,"February 1 for Fall Term only
Spring (Please write an email to check if spring intake is available)- Sep 1"
"University of Buffalo, SUNY",MS in CS,http://engineering.buffalo.edu/computer-science-engineering.html,http://engineering.buffalo.edu/computer-science-engineering/graduate/admissions.html,"Spring Admission
 Students will be granted admission as space permits.
 International applicants: September 30"
"California State University, East Bay",MS in CS,http://catalog.csueastbay.edu/preview_program.php?catoid=19&poid=7757&returnto=12552,http://catalog.csueastbay.edu/content.php?catoid=19&navoid=12577#admission-procedures,"Spring - Oct 1
 Fall - May 1"
"California State University, Sacramento",MS in CS,https://www.ecs.csus.edu/csc/academic/graduateprograms.html,"March 1, 2022",March 1 2022
"California State University, Long Beach",MS in CS,https://www.csulb.edu/college-of-engineering/cecs-graduate-programs,http://www.ccpe.csulb.edu/International/about.aspx?pID=7,April 15 2022
"California State University, LA",MS in CS,http://www.calstatela.edu/ecst/cs/admission,http://www.calstatela.edu/ecst/cs/admission,Feb 15 2022
San Diego state University,MS in CS,http://www.cs.sdsu.edu/graduate-program/,http://www.cs.sdsu.edu/deadlines-for-applications-to-the-graduate-program/,"March 1, 2022"
Maryland College Park,MS in CS,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,December 14 2021